date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:01	34033/34033	---M--	200	added ('OK')	image/png	etag:%2284f1-5ebe3a5316fe7%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/botones_Mesa-de-trabajo-1-copia-12.png	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/botones_Mesa-de-trabajo-1-copia-12.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/curso-taller-de-pasteler%c3%ada-b%c3%a1sica-2022-2)
10:47:05	550814/550814	---M--	200	added ('OK')	application/pdf	etag:%228679e-5bd97419ed3ed%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/archivos_pagina/REQUISITOS%20PARA%20SER%20DECLARADO%20EXPEDITO%20-%202021.pdf	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/archivos_pagina/REQUISITOS%20PARA%20SER%20DECLARADO%20EXPEDITO%20-%202021.pdf	(from http://institutomisionerosmonfortianos.drelm.edu.pe/front)
10:47:07	36729/36729	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2015:47:06%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/node/199	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/node/199.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/cursos-mas-tec-2022-dirigido-estudiantes-de-secundaria)
10:47:08	343/343	---M--	200	added ('OK')	image/gif	etag:%22157-567883f5065c0%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/all/libraries/tinymce/jscripts/tiny_mce/plugins/emotions/img/smiley-laughing.gif	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/all/libraries/tinymce/jscripts/tiny_mce/plugins/emotions/img/smiley-laughing.gif	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/cursos-mas-tec-2022-dirigido-estudiantes-de-secundaria)
10:47:08	344/344	---M--	200	added ('OK')	image/gif	etag:%22158-567883f5fa800%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/all/libraries/tinymce/jscripts/tiny_mce/plugins/emotions/img/smiley-smile.gif	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/all/libraries/tinymce/jscripts/tiny_mce/plugins/emotions/img/smiley-smile.gif	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/cursos-mas-tec-2022-dirigido-estudiantes-de-secundaria)
10:47:10	761000/761000	---M--	200	added ('OK')	application/pdf	etag:%22b9ca8-5bd9740bdd26e%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/archivos_pagina/PASOS%20Y%20REQUISITOS%20PARA%20SER%20DECLARADO%20EXPEDITO%20-%202021.pdf	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/archivos_pagina/PASOS%20Y%20REQUISITOS%20PARA%20SER%20DECLARADO%20EXPEDITO%20-%202021.pdf	(from http://institutomisionerosmonfortianos.drelm.edu.pe/front)
10:47:15	118125/118125	---M--	200	added ('OK')	image/png	etag:%221cd6d-5ebe3730d6ec5%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/foto_noticia/CURSO-TALLER%20DE_0.png	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/foto_noticia/CURSO-TALLER%20DE_0.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/curso-taller-de-pasteler%c3%ada-b%c3%a1sica-2022-2)
10:47:17	350/350	---M--	200	added ('OK')	image/gif	etag:%2215e-567883f6eea40%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/all/libraries/tinymce/jscripts/tiny_mce/plugins/emotions/img/smiley-wink.gif	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/all/libraries/tinymce/jscripts/tiny_mce/plugins/emotions/img/smiley-wink.gif	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/cursos-mas-tec-2022-dirigido-estudiantes-de-secundaria)
10:47:20	33181/33181	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2015:47:18%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/node/194	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/node/194.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/renovaci%c3%b3n-de-contrato-2023)
10:47:46	150526/150526	---M--	200	added ('OK')	application/pdf	etag:%2224bfe-5ea4de1a290d1%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/convocatoria%20renovacion%20contrato.pdf	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/convocatoria%20renovacion%20contrato.pdf	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/renovaci%c3%b3n-de-contrato-2023)
10:47:46	184224/184224	---M--	200	added ('OK')	image/jpeg	etag:%222cfa0-5eab90e7641dc%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/WhatsApp%20Image%202022-10-10%20at%208.15.56%20PM%20(1)_2.jpeg	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/WhatsApp%20Image%202022-10-10%20at%208.15.56%20PM%20(1)_2.jpg	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/cursos-mas-tec-2022-dirigido-estudiantes-de-secundaria)
10:48:16	363942/363942	---M--	200	added ('OK')	image/jpeg	etag:%2258da6-5eab8f2e8405d%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/foto_noticia/WhatsApp%20Image%202022-10-10%20at%208.15.56%20PM_0.jpeg	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/foto_noticia/WhatsApp%20Image%202022-10-10%20at%208.15.56%20PM_0.jpg	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/cursos-mas-tec-2022-dirigido-estudiantes-de-secundaria)
10:48:19	33306/33306	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2015:48:16%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/node/189	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/node/189.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/ratificaci%c3%b3n-de-matr%c3%adcula-2022-ii)
10:49:24	1021151/1021151	---M--	200	added ('OK')	image/png	etag:%22f94df-5ebe358f48939%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/Pasteler%c3%ada%20y%20Panader%c3%ada%202022-2.png	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/Pasteler%c3%ada%20y%20Panader%c3%ada%202022-2.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/curso-taller-de-pasteler%c3%ada-b%c3%a1sica-2022-2)
